Village,Type,Survey,Start,End,month,year,SMonthCont,SurvMonth,SvMonthAgg,SurvMonthlag,SMonthContLag,Mcont
HKT,entomology,1,23/06/2013,27/06/2013,6,2013,0,0,0,,1,6
HKT,entomology,2,28/07/2013,29/07/2013,7,2013,1,,3,,2,7
HKT,entomology,3,25/08/2013,29/08/2013,8,2013,2,,3,3,3,8
HKT,entomology,4,22/09/2013,26/09/2013,9,2013,3,3,3,,4,9
HKT,entomology,5,20/10/2013,24/10/2013,10,2013,4,,6,,5,10
HKT,entomology,6,17/11/2013,21/11/2013,11,2013,5,,6,6,6,11
HKT,entomology,7,15/12/2013,19/12/2013,12,2013,6,6,6,,7,12
HKT,entomology,8,12/1/2014,16/01/2014,1,2014,7,,9,,8,13
HKT,entomology,9,9/2/2014,13/02/2014,2,2014,8,,9,9,9,14
HKT,entomology,10,9/3/2014,13/03/2014,3,2014,9,9,9,,10,15
HKT,entomology,11,6/4/2014,10/4/2014,4,2014,10,,12,,11,16
HKT,entomology,12,4/5/2014,8/5/2014,5,2014,11,,12,12,12,17
HKT,entomology,13,1/6/2014,5/6/2014,6,2014,12,12,12,,13,18
HKT,entomology,14,29/06/2014,3/7/2014,6,2014,13,,15,,14,19
HKT,entomology,15,27/07/2014,31/07/2014,7,2014,14,,15,15,15,20
HKT,entomology,16,24/08/2014,28/08/2014,8,2014,15,15,15,,16,21
HKT,entomology,17,21/09/2014,25/09/2014,9,2014,16,,18,,17,22
HKT,entomology,18,19/10/2014,23/10/2014,10,2014,17,,18,18,18,23
HKT,entomology,19,16/11/2014,20/11/2014,11,2014,18,18,18,,19,24
HKT,entomology,20,18/05/2015,22/05/2015,5,2015,19,,,,20,30
KNH,entomology,1,11/6/2013,15/06/2013,6,2013,0,0,0,,1,6
KNH,entomology,2,7/7/2013,11/7/2013,7,2013,1,,3,,2,7
KNH,entomology,3,4/8/2013,8/8/2013,8,2013,2,,3,3,3,8
KNH,entomology,4,1/9/2013,5/9/2013,9,2013,3,3,3,,4,9
KNH,entomology,5,29/09/2013,3/10/2013,9,2013,4,,6,,5,9
KNH,entomology,6,27/10/2013,31/10/2013,10,2013,5,,6,6,6,10
KNH,entomology,7,24/11/2013,28/11/2013,11,2013,6,6,6,,7,11
KNH,entomology,8,22/12/2013,26/12/2013,12,2013,7,,9,,8,12
KNH,entomology,9,19/01/2014,23/01/2014,1,2014,8,,9,9,9,13
KNH,entomology,10,16/02/2014,20/02/2014,2,2014,9,9,9,,10,14
KNH,entomology,11,16/03/2014,20/03/2014,3,2014,10,,12,,11,15
KNH,entomology,12,13/04/2014,17/04/2014,4,2014,11,,12,12,12,16
KNH,entomology,13,11/5/2014,15/05/2014,5,2014,12,12,12,,13,17
KNH,entomology,14,8/6/2014,12/6/2014,6,2014,13,,15,,14,18
KNH,entomology,15,6/7/2014,10/7/2014,7,2014,14,,15,15,15,19
KNH,entomology,16,3/8/2014,7/8/2014,8,2014,15,15,15,,16,20
KNH,entomology,17,31/08/2014,4/9/2014,8,2014,16,,18,,17,21
KNH,entomology,18,28/09/2014,2/10/2014,9,2014,17,,18,18,18,22
KNH,entomology,19,26/10/2014,30/10/2014,10,2014,18,18,18,,19,23
KNH,entomology,20,23/11/2014,27/11/2014,11,2014,19,,,,20,24
KNH,entomology,21,27/04/2015,1/5/2015,4,2015,20,,,,,29
TOT,entomology,1,19/05/2013,23/05/2013,5,2013,0,0,0,,1,5
TOT,entomology,2,14/07/2013,18/07/2013,7,2013,1,,3,,2,7
TOT,entomology,3,11/8/2013,15/08/2013,8,2013,2,,3,3,3,8
TOT,entomology,4,8/9/2013,12/9/2013,9,2013,3,3,3,,4,9
TOT,entomology,5,6/10/2013,10/10/2013,10,2013,4,,6,,5,10
TOT,entomology,6,3/11/2013,7/11/2013,11,2013,5,,6,6,6,11
TOT,entomology,7,1/12/2013,5/12/2013,12,2013,6,6,6,,7,12
TOT,entomology,8,26/01/2014,30/01/2014,1,2014,7,,9,,8,13
TOT,entomology,9,23/02/2014,27/02/2014,2,2014,8,,9,9,9,14
TOT,entomology,10,23/03/2014,27/03/2014,3,2014,9,9,9,,10,15
TOT,entomology,11,20/04/2014,24/04/2014,4,2014,10,,12,,11,16
TOT,entomology,12,18/05/2014,22/05/2014,5,2014,11,,12,12,12,17
TOT,entomology,13,15/06/2014,19/06/2014,6,2014,12,12,12,,13,18
TOT,entomology,14,13/07/2014,17/07/2014,7,2014,13,,15,,14,19
TOT,entomology,15,10/8/2014,14/08/2014,8,2014,14,,15,15,15,20
TOT,entomology,16,7/9/2014,11/9/2014,9,2014,15,15,15,,16,21
TOT,entomology,17,5/10/2014,9/10/2014,10,2014,16,,18,,17,22
TOT,entomology,18,2/11/2014,6/11/2014,11,2014,17,,18,18,18,23
TOT,entomology,19,30/11/2014,4/12/2014,11,2014,18,18,18,,19,24
TOT,entomology,20,6/4/2015,10/4/2015,4,2015,19,,,,20,29
TPN,entomology,1,23/04/2013,27/04/2013,4,2013,0,0,0,,1,4
TPN,entomology,2,26/05/2013,30/05/2013,5,2013,1,,3,,2,5
TPN,entomology,3,21/07/2013,25/07/2013,7,2013,2,,3,3,3,7
TPN,entomology,4,18/08/2013,22/08/2013,8,2013,3,3,3,,4,8
TPN,entomology,5,15/09/2013,19/09/2013,9,2013,4,,6,,5,9
TPN,entomology,6,13/10/2013,17/10/2013,10,2013,5,,6,6,6,10
TPN,entomology,7,10/11/2013,14/11/2013,11,2013,6,6,6,,7,11
TPN,entomology,8,8/12/2013,12/12/2013,12,2013,7,,9,,8,12
TPN,entomology,9,5/1/2014,9/1/2014,1,2014,8,,9,9,9,13
TPN,entomology,10,2/2/2014,6/2/2014,2,2014,9,9,9,,10,14
TPN,entomology,11,2/3/2014,6/3/2014,3,2014,10,,12,,11,15
TPN,entomology,12,30/03/2014,3/4/2014,3,2014,11,,12,12,12,16
TPN,entomology,13,27/04/2014,1/5/2014,4,2014,12,12,12,,13,17
TPN,entomology,14,25/05/2014,29/05/2014,5,2014,13,,15,,14,18
TPN,entomology,15,22/06/2014,26/06/2014,6,2014,14,,15,15,15,19
TPN,entomology,16,20/07/2014,24/07/2014,7,2014,15,15,15,,16,20
TPN,entomology,17,17/08/2014,21/08/2014,8,2014,16,,18,,17,21
TPN,entomology,18,14/09/2014,18/09/2014,9,2014,17,,18,18,18,22
TPN,entomology,19,12/10/2014,16/10/2014,10,2014,18,18,18,,19,23
TPN,entomology,20,9/11/2014,13/11/2014,11,2014,19,,,,20,24
TPN,entomology,21,16/03/2015,20/03/2015,3,2015,20,,,,,28
